hh;h
HH;HH
ldfjvsn;wurhnskj
salad;food
serhvjr;soiercn
GORILLA;ANIMAL
hamburger;food
music;power
skjitwpakvskjnc;fewnkjdvnkS
yu;yu
you;your
AA;AA
eggs;food
qw;qw
io;io
whistle;blackpink
lion;animal
horse;animal
j-hope;jung hosoek
seitjnkawejhr;fgljnskeurhs
selihveyrgjvd;aweiurhnifdgj
style;jennie kim
hello;hi
dog;animal
love;support
JJ;JJ
ZZ;ZZ
rt;rt
bst;bts
drhnvskrji;seijrnsier
awerhcbhw;dxkjnsret
agust d;suga
ekrhseirj;skjrnsurn
power;exo
key;value
SS;SS
KK;KK
shark;animal
bread;food
c;c
d;w
e;e
f;f
g;g
i;me
j;j
k;k
l;l
m;m
n;n
o;o
p;p
iiii;iiiiiii
r;r
s;s
u;u
v;v
w;w
fish;food
x;x
y;y
z;z
DD;DD
LL;LL
key1;value1
key2;value2
monkey;animal
ty;ty
still with you;jk
key3;value3
wannabe me;itzy
qwerty;vc
qwpoeim;kfjnbser
sjfhvn;fgj
ice cream;food
ui;ui
bird;animal
bear;animal
humster;animal
er;er
lkdjgn;shssh
SKJE;VORIJN
zkdrnvsj;djhvn
FF;FF
chicken;food
soup;food
rtvserjn;wer
we;we
pizza;food
cat;animal
pasta;food
GG;GG
op;op
butter;food
rice;food
free-fries;food
bye;goodbye
sjn;esrjhvsiekjn
meat;food
